_termek;termek;product;produkt
_termekek;termekek;products;produkte
_termekek_uj;termekek_uj;products_new;produkt_neu
_termekek_web;termekek_web;termekek_web;produkt_web
_termekek_coreclub;termekek_coreclub;termekek_coreclub;produkt_coreclub
_megrendeles;megrendeles;order;bestellen
_regisztracio;regisztracio;registration;anmeldung
_sikeres_regisztracio;sikeres_regisztracio;success_registration;werden_sie_mitglied
_sikeres_vasarlas;sikeres_vasarlas;thank_you_for_your_order;
_adataim;adataim;my_profile;konto
_kartyas_fizetes;kartyas-fizetes;card_payment;kartenzahlung
_kerdesek_valaszok;kerdesek-valaszok;faq;faq
_nem_talalhato;nem_talalhato;not_found;nicht_gefunden
_tranzakcio;tranzakcio;tranzakcio;tranzakcio
_szallitas;szallitas;delivery;
_aszf;altalanos-szerzodesi-feltetelek;terms_and_conditions;
_elfelejtett_jelszo;elfelejtett_jelszo;forgot_pwd;
_uzletunk;uzletunk;uzletunk;
magyar;magyar;English;Deutsch
penznem;Pénznem;Currency;Währung
termek_kereses;Termék keresés;Product search;Produktssuche
termek;termék;Products;
valassz_nyelvet;Válassz nyelvet;Select Language;Sprache wählen
ferfi_ruhazat;Férfi ruha;Mens;Mann
noi_ruhazat;Női ruha;Womens;Frau
ferfi_cipo;Férfi cipő;Mens shoes;Schuhe Jungs
noi_cipo;Női cipő;Womens shoes;Schuhe Mädels
cipo;Cipő;Shoes;Schuhe
kiegeszito;Kiegészítő;Accessories;Zubehör
gordeszka;Gördeszka;Skateboards;Skateboards
akcios_ferfi_cipo;Akciós férfi cipő;;;
akcios_noi_cipo;Akciós női cipő;;;
akcios_ferfi_ruha;Akciós férfi ruha;;;
akcios_noi_ruha;Akciós női ruha;;;
akcios_kiegeszito;Akciós kiegészítő;;;
bmx;bmx;bmx;bmx
belga;Bëlga;Bëlga
outlet;sale %;sale %;
second_hand;Second Hand (relikviák);SEcond Hand (Relics);
zaszlok;Zászlók;Flags;
polok;Pólók;Tees;
kiadvanyok;Kiadványok;Records, Issues;
vasarfia;Vásárfia;Fairing;
vasarlas;Vásárlás;Shopping;Kaufen
szallitas;Szállítás;Delivery;Versand
szavatossag;Jótállás, garancia;Warranty;Garantie
termekcsere;Termékcsere;Returns and Refunds;Rücksendungen / Umtausch
kapcsolat;Kapcsolat;Contact;Kontakt
kosar;Kosár;Cart;Warenkorb
Ingyenes_szallitas;Ingyenes szállítás;Free Shipping;Frei Lieferung 
szallitasi_dij;szállítási díj;Shipping Rate;Versandkosten
megrendeles;Megrendelés;Checkout;Zur Kasse
ures_a_kosarad;Üres a kosarad;Your cart is empty;Ihr Warenkorb ist leer
austria;Ausztria;Ausztria;Ausztria
belgium;Belgium;Belgium;Belgium
bulgaria;Bulgaria;Bulgaria;Bulgaria
cyprus;Cyprus;Cyprus;Cyprus
czech_republic;Czech Republic;Czech Republic;Czech Republic
denmark;Denmark;Denmark;Denmark
estonia;Estonia;Estonia;Estonia
finland;Finland;Finland;Finland
france;France;France;France
germany;Germany;Germany;Germany
greece;Greece;Greece;Greece
ireland;Ireland;Ireland;Ireland
italy;Italy;Italy;Italy
latvia;Latvia;Latvia;Latvia
lithuania;Lithuania;Lithuania;Lithuania
luxembourg;Luxembourg;Luxembourg;Luxembourg
malta;Malta;Malta;Malta
netherlands;Netherlands;Netherlands;Netherlands
poland;Poland;Poland;Poland
portugal;Portugal;Portugal;Portugal
romania;Romania;Romania;Romania
slovakia;Slovakia;Slovakia;Slovakia
slovenia;Slovenia;Slovenia;Slovenia
spain;Spain;Spain;Spain
sweden;Sweden;Sweden;Sweden
united_kingdom;United Kingdom;United Kingdom;United Kingdom
magyarorszag;Magyarország;Hungary;Ungarn
regisztracios_ertesites;Regisztrációs értesítés;Registration notice;Registrationsnotiz
cslogo_title;Coreshop webshop;Coreshop webshop;Coreshop webshop
cipo_merettablazat;cipő mérettáblázat;Size chart (Size guide);Größentabelle
